App_Name,CPU_Usage,Memory_Usage,Battery_Level,Temperature,Disk_Space,Network_Signal,App_Version,Error_Logs,Device_Model,Session_Time,Num_App_Crashes,Duration_Since_Last_Charge,App_Usage_Level,Crash_Label
6,35.47,52.05,30.17,22.55,484.09,77.38,1.1,1,2,0,1,34.1,2,0.0
11,98.13,35.68,42.99,50.85,315.26,88.07,1.2,1,2,2,2,25.2,2,1.0
1,61.32,60.21,33.43,42.39,13.54,26.11,1.2,0,1,2,1,32.87,1,0.0
7,86.21,52.39,65.45,48.86,333.17,9.51,1.2,0,0,1,1,16.24,1,0.0
0,77.27,57.53,3.69,47.11,483.71,13.69,2.0,1,1,1,2,44.96,1,0.0
9,71.29,41.83,91.01,40.3,183.62,79.28,1.1,1,1,2,2,3.1,0,0.0
1,48.86,54.24,40.76,30.79,477.98,43.58,1.0,1,1,2,1,26.19,2,0.0
8,39.62,60.35,89.43,32.03,343.36,13.19,2.0,1,1,2,1,4.2,2,0.0
6,69.37,43.16,56.06,42.28,97.2,34.03,2.0,1,1,0,2,21.25,2,0.0
5,47.89,56.33,71.5,32.95,74.4,51.42,2.0,1,0,2,1,12.36,2,0.0
4,78.34,55.41,5.06,44.94,90.27,85.21,2.0,0,2,1,2,44.97,0,0.0
6,37.42,52.1,96.93,25.27,358.0,64.17,1.1,0,0,2,1,0.63,0,0.0
0,63.69,78.88,59.49,40.73,301.83,17.6,1.2,0,0,2,1,18.78,2,0.0
0,62.61,76.48,23.06,35.84,233.24,15.87,1.0,0,1,2,1,37.54,2,0.0
9,85.92,56.74,82.28,47.86,134.84,41.23,1.0,1,2,2,2,9.05,1,0.0
8,83.43,48.16,19.39,47.0,464.5,7.52,2.0,1,0,0,2,39.15,2,0.0
11,72.39,56.15,15.21,42.81,109.44,75.56,2.0,1,0,2,1,41.27,0,0.0
9,74.16,67.27,30.11,41.79,145.21,40.15,1.1,0,2,2,1,33.98,2,0.0
9,71.73,53.01,78.72,40.38,28.12,34.3,2.0,0,0,2,1,10.04,2,0.0
4,70.24,52.91,72.95,40.43,140.97,50.91,1.0,1,2,2,2,13.06,1,0.0
14,98.74,65.74,80.59,53.05,472.52,70.9,1.0,0,0,2,1,8.01,0,1.0
8,73.17,60.27,81.13,37.28,96.05,56.93,1.2,0,1,2,2,8.84,1,0.0
2,88.3,54.6,99.63,52.9,104.43,80.24,1.2,1,2,2,2,1.75,2,1.0
9,60.04,57.47,15.81,37.49,307.19,62.94,1.0,1,0,1,0,41.15,1,0.0
3,99.2,59.39,49.18,53.33,290.28,78.8,1.0,1,0,1,2,25.37,2,1.0
10,67.55,47.1,67.04,42.68,90.09,69.68,1.1,0,2,1,1,15.73,2,0.0
14,83.99,56.43,70.29,44.47,78.98,19.31,1.1,1,2,2,1,13.9,2,0.0
2,40.17,57.58,44.6,29.24,59.89,5.24,1.0,1,2,0,1,26.15,2,0.0
3,67.38,83.0,65.55,39.95,440.88,90.34,2.0,1,2,0,2,15.68,2,0.0
8,97.29,50.34,11.96,53.17,335.07,94.57,1.2,0,2,2,2,41.46,2,1.0
13,37.35,50.19,81.88,25.8,488.16,72.69,1.0,0,2,2,1,10.13,1,0.0
3,88.48,64.09,10.3,51.86,84.91,72.42,2.0,1,1,2,3,42.35,1,1.0
5,44.92,52.74,31.32,29.63,235.83,27.01,1.0,1,1,2,1,31.88,1,0.0
