App_Name,CPU_Usage,Memory_Usage,Battery_Level,Temperature,Disk_Space,Network_Signal,App_Version,Error_Logs,Device_Model,Session_Time,Num_App_Crashes,App_Usage_Level,Crash_Label
6,0.2031636183885318,0.405883483945395,0.3017,0.2306780464675201,0.9456122528717668,0.7737999999999999,0.1,1.0,2,0,0.25,2,0.0
11,0.977508650519031,0.0911363199384733,0.4299,0.9016121384542436,0.6157888567633039,0.8806999999999999,0.1999999999999999,1.0,2,2,0.5,2,1.0
1,0.5226149283242708,0.5627763891559315,0.3343,0.7010431484115695,0.0263538329295928,0.2611,0.1999999999999999,0.0,1,2,0.25,1,0.0
7,0.8302026693030152,0.4124206883291674,0.6545000000000001,0.8544333807491702,0.6507775259826521,0.0951,0.1999999999999999,0.0,0,1,0.25,1,0.0
0,0.7197231833910034,0.5112478369544318,0.0369,0.8129445234708392,0.9448698913807924,0.1369,1.0,1.0,1,1,0.5,1,0.0
9,0.6458230350963915,0.2093828109978849,0.9101,0.6514935988620199,0.3586192076267875,0.7928000000000001,0.1,1.0,1,2,0.5,0,0.0
1,0.3686356895699456,0.4479907710055758,0.4075999999999999,0.426031294452347,0.933675861530046,0.4357999999999999,0.0,1.0,1,2,0.25,2,0.0
8,0.2544488383588729,0.5654681791963083,0.8943000000000001,0.4554291133238501,0.6706845354379933,0.1319,1.0,1.0,1,2,0.25,2,0.0
6,0.6220958971824024,0.2349548163814649,0.5606,0.6984352773826459,0.1897905759162304,0.3403,1.0,1.0,1,0,0.5,2,0.0
5,0.356648541769649,0.4881753508940587,0.715,0.4772403982930299,0.1452488864577635,0.5142,1.0,1.0,0,2,0.25,2,0.0
4,0.7329461196243203,0.4704864449144394,0.0506,0.7614983404457089,0.1762522466203016,0.8521,1.0,0.0,2,1,0.5,0,0.0
6,0.227261492832427,0.4068448375312439,0.9693,0.2951635846372688,0.6992849886692193,0.6417,0.1,0.0,0,2,0.25,0,0.0
0,0.5519031141868511,0.9217458181119014,0.5949,0.6616880037932669,0.5895522388059701,0.176,0.1999999999999999,0.0,0,2,0.25,2,0.0
0,0.5359614434008897,0.8756008459911556,0.2306,0.5457562825983879,0.4555559896850824,0.1586999999999999,0.0,0.0,1,2,0.25,2,0.0
9,0.8266188828472565,0.4960584502980196,0.8228,0.8307254623044097,0.2633234351801203,0.4122999999999999,0.0,1.0,2,2,0.5,1,0.0
8,0.795847750865052,0.3310901749663525,0.1939,0.8103366524419156,0.907341564429163,0.0751999999999999,1.0,1.0,0,0,0.5,2,0.0
11,0.6594167078596144,0.4847144779850028,0.1521,0.711000474158369,0.2137024302570915,0.7556,1.0,1.0,0,2,0.25,0,0.0
9,0.6812901631240731,0.6985195154777927,0.3011,0.6868183973447131,0.2835820895522388,0.4014999999999999,0.1,0.0,2,2,0.25,2,0.0
9,0.6512605042016807,0.4243414727936934,0.7872,0.6533902323376009,0.0548370711885598,0.3429999999999999,1.0,0.0,0,2,0.25,2,0.0
4,0.6328472565496785,0.4224187656219956,0.7295,0.6545756282598387,0.2752988981792607,0.5091,0.0,1.0,2,2,0.5,1,0.0
14,0.9850469599604548,0.669102095750817,0.8059000000000001,0.9537695590327168,0.9230092990544658,0.7090000000000001,0.0,0.0,0,2,0.25,0,1.0
8,0.6690558576371725,0.5639300134589502,0.8112999999999999,0.579895685158843,0.1875439556145971,0.5693,0.1999999999999999,0.0,1,2,0.5,1,0.0
2,0.8560306475531388,0.4549125168236877,0.9963,0.9502133712660028,0.2039149800734547,0.8024,0.1999999999999999,1.0,2,2,0.5,2,1.0
9,0.5067968363816114,0.5100942126514131,0.1581,0.5848743480322428,0.6000234429944518,0.6294,0.0,1.0,0,1,0.0,1,0.0
3,0.990731586752348,0.5470101903480099,0.4918,0.9604077761972498,0.5669883566460888,0.7879999999999999,0.0,1.0,0,1,0.5,2,1.0
10,0.5996045477014335,0.3107094789463564,0.6704000000000001,0.70791844476055,0.1759006017035242,0.6968000000000001,0.1,0.0,2,1,0.25,2,0.0
14,0.8027681660899653,0.4900980580657565,0.7029000000000001,0.7503556187766713,0.1541962960068766,0.1931,0.1,1.0,2,2,0.25,2,0.0
2,0.2612456747404844,0.5122091905402806,0.446,0.3892840208629682,0.1169023989997655,0.0524,0.0,1.0,2,0,0.25,2,0.0
3,0.597503707365299,,0.6555,0.6431958274063538,0.8611979370164882,0.9034,1.0,1.0,2,0,0.5,2,0.0
8,0.967128027681661,0.3730051913093636,0.1196,0.9566145092460884,0.6544893334375244,0.9457,0.1999999999999999,0.0,2,2,0.5,2,1.0
13,0.2263964409293129,0.3701211305518168,0.8188,0.3077287814129919,0.9535633351566772,0.7269,0.0,0.0,2,2,0.25,1,0.0
3,0.8582550667325753,0.6373774274178043,0.103,0.9255571360834518,0.1657810424318199,0.7242000000000001,1.0,1.0,1,2,0.75,1,1.0
5,0.3199456253089471,0.4191501634301096,0.3132,0.3985301090564248,0.4606157693209346,0.2701,0.0,1.0,1,2,0.25,1,0.0
14,0.981216015818092,0.1959238607960007,0.0562,0.9845898530109056,0.7431233882941314,0.5424,0.1999999999999999,0.0,2,1,0.75,2,1.0
1,0.4238754325259515,0.8331090174966351,0.9787,0.5862968231389283,0.2135070719699929,0.9922,0.1999999999999999,0.0,0,2,0.25,0,0.0
3,0.7069945625308947,0.1678523360892136,0.9725,0.7548601232811758,0.6847307962803783,0.8561,0.1,1.0,1,2,0.25,2,0.0
12,0.1398912506178942,0.7704287636992887,0.5193,0.2401612138454243,0.4738219895287958,0.3044,0.1,0.0,1,1,0.25,1,0.0
13,0.4225160652496292,0.6717938857911939,0.0929,0.5037932669511617,0.4308236305384074,0.301,0.1,1.0,0,2,0.25,0,0.0
0,0.5935491843796342,0.5550855604691405,0.2622,0.6804172593646278,0.645053528170665,0.4836,0.1,1.0,1,2,0.25,2,0.0
0,0.3839594661393969,0.7285137473562776,0.3492,0.4179706021811284,0.4677072751426115,0.4046,0.1999999999999999,0.0,1,2,0.25,0,0.0
7,0.6847503707365299,0.3362814843299365,0.9735,0.7688477951635846,0.8201140892396656,0.3712,1.0,1.0,2,2,0.5,1,0.0
5,0.6333415719228868,0.3305133628148433,0.6386999999999999,0.6621621621621622,0.9306478080800188,0.627,1.0,1.0,1,1,0.25,2,0.0
3,0.9597132970835393,0.4739473178234955,0.6153,0.9871977240398292,0.588907556458545,0.0115,1.0,0.0,1,1,0.5,0,1.0
3,0.58353929807217,,0.4681,0.6605026078710289,0.3005587247011018,0.7633,0.0,1.0,1,2,0.5,2,0.0
7,0.6895699456253089,0.0478754085752739,0.7338,0.7238027501185397,0.7773110885363756,0.7401000000000001,0.1,0.0,2,1,0.25,2,0.0
10,0.2387543252595155,0.2951355508556046,0.7203,0.3686581318160266,0.1704305696647652,0.8303,0.1,1.0,0,2,0.0,2,0.0
10,0.1814137419673751,0.6125745049029031,0.3709,0.3686581318160266,0.0949245917011799,0.8415,0.1999999999999999,1.0,0,2,0.25,0,0.0
7,0.5820563519525457,0.3762737935012497,0.0556,0.5986249407302039,0.5187543955614596,0.5664,0.1999999999999999,0.0,0,2,0.5,0,0.0
10,0.9410528917449332,0.5273985771966928,0.3478,0.9077761972498816,0.646792216925842,0.7801,0.0,0.0,0,2,0.5,1,1.0
4,0.5359614434008897,0.6098827148625263,0.309,0.5379326695116168,0.8350980698601235,0.4924,0.0,0.0,1,2,0.25,1,0.0
3,,0.6927513939626995,0.0,0.0976766239924134,0.955341095569274,0.9515,1.0,0.0,2,1,0.0,2,1.0
6,0.4543994068215521,0.5285522014997115,0.8895000000000001,0.4841156946420105,0.8734469016175666,0.1907,0.1999999999999999,0.0,2,1,0.5,1,0.0
11,0.6710331191300049,0.2557200538358008,0.9664,0.7254623044096729,0.9888255059779636,0.9156,0.1,0.0,1,2,0.5,1,1.0
12,0.7131735046959959,0.5985387425495097,0.2502,0.6991465149359887,0.4757169649136516,0.2585,1.0,1.0,0,0,0.5,0,0.0
4,0.6983440434997529,0.501634301095943,0.557,0.7411095305832147,0.3165194967570524,0.1027,0.1,0.0,2,1,0.5,2,0.0
8,0.2478991596638655,0.5985387425495097,0.5871999999999999,0.2863916548127074,0.4597171212002813,0.4391,1.0,1.0,1,2,0.25,2,0.0
4,0.6914236282748394,0.1974620265333589,0.7842,0.6427216690374585,0.6441744158787216,0.6149,0.1,0.0,1,0,0.25,1,0.0
6,0.2490113692535837,,0.537,0.6427216690374585,0.5072868641087755,0.231,0.0,1.0,1,1,0.25,2,0.0
8,0.9468610973801286,0.7554316477600462,0.581,1.0,0.6341720715792764,0.5558,1.0,1.0,1,2,0.75,1,1.0
12,0.4709589718240237,0.5341280522976349,0.6529,0.5296348980559507,0.8868289442838165,0.8079000000000001,0.1,0.0,2,2,0.25,2,0.0
6,0.643598615916955,0.3241684291482406,0.5728,0.67425320056899,0.1657615066031101,0.2571,0.1,1.0,1,2,0.75,2,0.0
2,0.5315126050420168,0.6044991347817728,0.6372,0.6218587008060692,0.1202039540517308,0.5803,0.1999999999999999,1.0,2,1,0.25,0,0.0
11,0.3931043005437469,0.6060373005191309,0.0155,0.5350877192982456,0.4985348128467609,0.3393,1.0,1.0,1,2,0.25,2,1.0
12,0.5976272862086011,0.7646606421841952,0.0098,0.6666666666666666,0.9819098226146752,0.5297999999999999,0.1,0.0,1,1,0.25,2,1.0
3,0.0918190805734058,0.6412228417611999,0.1789,0.2569938359412043,0.0589591310463389,0.6668999999999999,0.1999999999999999,0.0,2,0,0.0,0,0.0
10,0.5421403855659911,0.6912132282253413,0.0069,0.6197249881460408,0.9866961006485896,0.3504,0.1,1.0,1,2,0.25,2,1.0
2,0.1720217498764212,0.6887137089021342,0.7264,0.3290659080132764,0.9678440259435804,0.9945,1.0,0.0,0,2,0.25,2,0.0
5,0.5747652001977261,0.3966544895212459,0.1699,0.6244665718349928,0.2925685707587716,0.5638000000000001,0.0,0.0,2,2,0.25,2,0.0
12,0.5173010380622837,0.5116323783887713,0.615,0.6389284020862969,0.8911072907712745,0.8245,1.0,1.0,2,2,0.5,2,0.0
5,0.791893227879387,0.1536243030186502,0.2569,0.8454243717401612,0.0076580448542627,0.7251000000000001,1.0,1.0,1,0,0.75,1,0.0
8,0.8924864063272367,0.1703518554124206,0.7904000000000001,0.8257467994310099,0.4540712667031335,0.8528,0.1,0.0,2,1,0.5,1,0.0
2,0.6195007414730598,0.7281292059219381,0.19,0.7024656235182551,0.4021254981636321,0.1737999999999999,0.1,0.0,2,1,0.5,1,0.0
11,0.3530647553138902,0.1868871370890212,0.9048,0.5199146514935988,0.9027701805110572,0.2226,1.0,0.0,0,2,0.25,2,0.0
3,0.5517795353435492,0.5247067871563159,0.755,0.6351351351351351,0.472317730718137,0.4874,0.1999999999999999,1.0,2,2,0.25,2,0.0
7,,0.7829263603153239,0.1858,0.0547652916073968,0.4179299835899038,0.8523000000000001,0.1999999999999999,0.0,0,2,0.25,1,0.0
