App_Name,CPU_Usage,Memory_Usage,Battery_Level,Temperature,Disk_Space,Network_Signal,App_Version,Error_Logs,Device_Model,Session_Time,Num_App_Crashes,Duration_Since_Last_Charge,App_Usage_Level,Crash_Label
Netflix,35.47,52.05,30.17,22.55,484.09,77.38,1.1,1,Model_C,183.23,1,34.1,Medium,0.0
Twitter,98.13,35.68,42.99,50.85,315.26,88.07,1.2,1,Model_C,171.33,2,25.2,Medium,1.0
Discord,61.32,60.21,33.43,42.39,13.54,26.11,1.2,0,Model_B,165.1,1,32.87,Low,0.0
Slack,86.21,52.39,65.45,48.86,333.17,9.51,1.2,0,Model_A,157.1,1,16.24,Low,0.0
Amazon,77.27,57.53,3.69,47.11,483.71,13.69,2.0,1,Model_B,151.32,2,44.96,Low,0.0
Spotify,71.29,41.83,91.01,40.3,183.62,79.28,1.1,1,Model_B,163.55,2,3.1,High,0.0
Discord,48.86,54.24,40.76,30.79,477.98,43.58,1.0,1,Model_B,180.58,1,26.19,Medium,0.0
Snapchat,39.62,60.35,89.43,32.03,343.36,13.19,2.0,1,Model_B,159.58,1,4.2,Medium,0.0
Netflix,69.37,43.16,56.06,42.28,97.2,34.03,2.0,1,Model_B,194.52,2,21.25,Medium,0.0
Lyft,47.89,56.33,71.5,32.95,74.4,51.42,2.0,1,Model_A,179.74,1,12.36,Medium,0.0
Instagram,78.34,55.41,5.06,44.94,90.27,85.21,2.0,0,Model_C,142.84,2,44.97,High,0.0
Netflix,37.42,52.1,96.93,25.27,358.0,64.17,1.1,0,Model_A,171.5,1,0.63,High,0.0
Amazon,63.69,78.88,59.49,40.73,301.83,17.6,1.2,0,Model_A,166.83,1,18.78,Medium,0.0
Amazon,62.61,76.48,23.06,35.84,233.24,15.87,1.0,0,Model_B,168.31,1,37.54,Medium,0.0
Spotify,85.92,56.74,82.28,47.86,134.84,41.23,1.0,1,Model_C,168.3,2,9.05,Low,0.0
Snapchat,83.43,48.16,19.39,47.0,464.5,7.52,2.0,1,Model_A,182.5,2,39.15,Medium,0.0
Twitter,72.39,56.15,15.21,42.81,109.44,75.56,2.0,1,Model_A,175.8,1,41.27,High,0.0
Spotify,74.16,67.27,30.11,41.79,145.21,40.15,1.1,0,Model_C,163.38,1,33.98,Medium,0.0
Spotify,71.73,53.01,78.72,40.38,28.12,34.3,2.0,0,Model_A,170.47,1,10.04,Medium,0.0
Instagram,70.24,52.91,72.95,40.43,140.97,50.91,1.0,1,Model_C,169.61,2,13.06,Low,0.0
YouTube,98.74,65.74,80.59,53.05,472.52,70.9,1.0,0,Model_A,163.26,1,8.01,High,1.0
Snapchat,73.17,60.27,81.13,37.28,96.05,56.93,1.2,0,Model_B,173.68,2,8.84,Low,0.0
Facebook,88.3,54.6,99.63,52.9,104.43,80.24,1.2,1,Model_C,174.04,2,1.75,Medium,1.0
Spotify,60.04,57.47,15.81,37.49,307.19,62.94,1.0,1,Model_A,155.11,0,41.15,Low,0.0
Google Maps,99.2,59.39,49.18,53.33,290.28,78.8,1.0,1,Model_A,153.85,2,25.37,Medium,1.0
Telegram,67.55,47.1,67.04,42.68,90.09,69.68,1.1,0,Model_C,147.37,1,15.73,Medium,0.0
YouTube,83.99,56.43,70.29,44.47,78.98,19.31,1.1,1,Model_C,172.8,1,13.9,Medium,0.0
Facebook,40.17,57.58,44.6,29.24,59.89,5.24,1.0,1,Model_C,201.72,1,26.15,Medium,0.0
Google Maps,67.38,83.0,65.55,39.95,440.88,90.34,2.0,1,Model_C,185.99,2,15.68,Medium,0.0
Snapchat,97.29,50.34,11.96,53.17,335.07,94.57,1.2,0,Model_C,168.82,2,41.46,Medium,1.0
WhatsApp,37.35,50.19,81.88,25.8,488.16,72.69,1.0,0,Model_C,164.35,1,10.13,Low,0.0
Google Maps,88.48,64.09,10.3,51.86,84.91,72.42,2.0,1,Model_B,177.47,3,42.35,Low,1.0
Lyft,44.92,52.74,31.32,29.63,235.83,27.01,1.0,1,Model_B,164.9,1,31.88,Low,0.0
YouTube,98.43,41.13,5.62,54.35,380.44,54.24,1.2,0,Model_C,148.21,3,45.92,Medium,1.0
Discord,53.33,74.27,97.87,37.55,109.34,99.22,1.2,0,Model_A,170.52,1,0.73,High,0.0
Google Maps,76.24,39.67,97.25,44.66,350.55,85.61,1.1,1,Model_B,164.41,1,2.84,Medium,0.0
Uber,30.35,71.01,51.93,22.95,242.59,30.44,1.1,0,Model_B,149.56,1,24.04,Low,0.0
WhatsApp,53.22,65.88,9.29,34.07,220.58,30.1,1.1,1,Model_A,178.46,1,43.79,High,0.0
Amazon,67.06,59.81,26.22,41.52,330.24,48.36,1.1,1,Model_B,172.21,1,35.08,Medium,0.0
Amazon,50.1,68.83,34.92,30.45,239.46,40.46,1.2,0,Model_B,165.34,1,29.86,High,0.0
Slack,74.44,48.43,97.35,45.25,419.85,37.12,2.0,1,Model_C,167.48,2,1.52,Low,0.0
Lyft,70.28,48.13,63.87,40.75,476.43,62.7,2.0,1,Model_B,153.0,1,17.0,Medium,0.0
Google Maps,96.69,55.59,61.53,54.46,301.5,1.15,2.0,0,Model_B,156.11,2,16.6,High,1.0
Google Maps,66.25,56.97,46.81,40.68,153.9,76.33,1.0,1,Model_B,167.55,2,26.02,Medium,0.0
Slack,74.83,33.43,73.38,43.35,397.94,74.01,1.1,0,Model_C,157.63,1,12.38,Medium,0.0
Telegram,38.35,46.29,72.03,28.37,87.29,83.03,1.1,1,Model_A,159.46,0,12.82,Medium,0.0
Telegram,33.71,62.8,37.09,28.37,48.64,84.15,1.2,1,Model_A,165.98,1,29.8,High,0.0
Slack,66.13,50.51,5.56,38.07,265.59,56.64,1.2,0,Model_A,170.72,2,45.34,High,0.0
Telegram,95.18,58.37,34.78,51.11,331.13,78.01,1.0,0,Model_A,171.74,2,31.69,Low,1.0
Instagram,62.61,62.66,30.9,35.51,427.52,49.24,1.0,0,Model_B,169.68,1,32.07,Low,0.0
Google Maps,62.61,66.97,0.0,16.94,489.07,95.15,2.0,0,Model_C,152.55,0,47.34,Medium,1.0
Netflix,55.8,58.43,88.95,33.24,447.15,19.07,1.2,0,Model_C,153.13,2,7.37,Low,0.0
Twitter,73.33,44.24,96.64,43.42,506.21,91.56,1.1,0,Model_B,160.14,2,1.62,Low,1.0
Uber,76.74,62.07,25.02,42.31,243.56,25.85,2.0,1,Model_A,183.86,2,35.78,High,0.0
Instagram,75.54,57.03,55.7,44.08,162.07,10.27,1.1,0,Model_C,155.38,2,21.06,Medium,0.0
Snapchat,39.09,62.07,58.72,24.9,235.37,43.91,2.0,1,Model_B,177.07,1,20.58,Medium,0.0
Instagram,74.98,41.21,78.42,39.93,329.79,61.49,1.1,0,Model_B,180.96,1,10.81,Low,0.0
Netflix,39.18,56.97,53.7,39.93,259.72,23.1,1.0,1,Model_B,154.95,1,24.33,Medium,0.0
Snapchat,95.65,70.23,58.1,55.0,324.67,55.58,2.0,1,Model_B,172.94,3,21.22,Low,1.0
Uber,57.14,58.72,65.29,35.16,454.0,80.79,1.1,0,Model_C,178.83,1,16.58,Medium,0.0
Netflix,71.11,47.8,57.28,41.26,84.9,25.71,1.1,1,Model_B,180.24,3,21.25,Medium,0.0
Facebook,62.04,62.38,63.72,39.05,61.58,58.03,1.2,1,Model_C,147.25,1,18.42,High,0.0
Twitter,50.84,62.46,1.55,35.39,255.24,33.93,2.0,1,Model_B,171.06,1,45.12,Medium,1.0
Uber,67.39,70.71,0.98,40.94,502.67,52.98,1.1,0,Model_B,159.3,1,47.05,Medium,1.0
Google Maps,26.46,64.29,17.89,23.66,30.23,66.69,1.2,0,Model_C,184.67,0,40.32,High,0.0
Telegram,62.9,66.89,0.69,38.96,505.12,35.04,1.1,1,Model_B,168.94,1,47.54,Medium,1.0
Facebook,32.95,66.76,72.64,26.7,495.47,99.45,2.0,0,Model_A,167.45,1,12.75,Medium,0.0
Lyft,65.54,51.57,16.99,39.16,149.81,56.38,1.0,0,Model_C,160.19,1,40.46,Medium,0.0
Uber,60.89,57.55,61.5,39.77,456.19,82.45,2.0,1,Model_C,159.74,2,19.52,Medium,0.0
Lyft,83.11,38.93,25.69,48.48,3.97,72.51,2.0,1,Model_B,198.51,3,35.81,Low,0.0
Snapchat,91.25,39.8,79.04,47.65,232.48,85.28,1.1,0,Model_C,152.08,2,9.67,Low,0.0
Facebook,69.16,68.81,19.0,42.45,205.89,17.38,1.1,0,Model_C,149.27,2,38.97,Low,0.0
Twitter,47.6,40.66,90.48,34.75,462.16,22.26,2.0,0,Model_A,162.5,1,4.01,Medium,0.0
Google Maps,63.68,58.23,75.5,39.61,241.82,48.74,1.2,1,Model_C,165.91,1,12.99,Medium,0.0
Slack,62.61,71.66,18.58,15.13,213.98,85.23,1.2,0,Model_A,166.59,1,39.45,Low,0.0
Google Maps,74.83,48.78,22.83,47.73,327.47,19.76,1.2,0,Model_C,159.54,2,35.86,High,0.0
Netflix,33.37,55.56,46.28,25.13,192.41,97.11,1.1,0,Model_A,188.57,0,24.06,Low,0.0
Google Maps,77.05,60.79,31.79,43.99,274.72,12.76,1.1,1,Model_C,185.52,2,32.29,High,0.0
Discord,52.11,58.56,77.88,34.11,489.25,17.51,2.0,1,Model_C,169.92,1,8.91,Low,0.0
Spotify,51.34,53.51,33.92,35.1,103.74,16.72,1.0,1,Model_A,178.23,0,32.05,High,0.0
Slack,40.04,64.98,99.28,27.15,234.96,58.6,1.1,0,Model_A,160.93,1,0.38,Low,0.0
Instagram,70.75,54.71,15.87,41.85,7.87,91.75,2.0,0,Model_A,182.69,2,39.99,High,0.0
Telegram,56.94,54.1,47.1,37.51,431.23,25.51,2.0,1,Model_C,167.33,1,24.78,Medium,0.0
WhatsApp,40.07,36.78,6.25,27.23,47.11,55.3,1.0,0,Model_B,156.68,0,45.31,Low,0.0
Twitter,54.87,68.01,54.79,35.47,48.52,17.58,1.2,0,Model_B,179.81,2,22.95,Low,0.0
Facebook,85.64,56.97,56.46,47.67,452.01,63.11,2.0,0,Model_C,169.42,1,20.79,High,0.0
Spotify,62.61,63.53,55.4,25.15,209.56,12.32,2.0,1,Model_C,173.26,2,21.6,Low,0.0
Twitter,69.98,75.95,68.52,38.07,351.9,49.13,2.0,0,Model_A,186.59,2,17.27,Medium,0.0
Facebook,62.73,56.89,83.95,36.17,439.22,65.52,1.2,0,Model_A,172.19,2,8.0,Low,0.0
Telegram,66.82,59.06,16.32,38.18,191.73,57.91,1.2,1,Model_A,162.51,1,40.42,Low,0.0
YouTube,58.07,68.98,63.13,36.9,133.91,14.0,1.0,0,Model_B,165.15,1,18.68,Low,0.0
YouTube,61.91,57.6,47.29,39.36,86.79,16.14,1.1,1,Model_C,182.77,1,25.4,Medium,0.0
Lyft,74.37,42.35,100.0,43.23,310.85,67.14,1.2,0,Model_C,180.67,2,0.95,Medium,0.0
Twitter,61.98,63.38,95.58,34.91,129.16,80.89,1.1,1,Model_B,177.71,1,2.89,Low,0.0
YouTube,57.39,46.15,37.4,39.35,324.76,90.81,1.1,1,Model_A,156.42,0,28.66,Medium,0.0
Discord,52.67,52.96,11.02,33.9,162.38,81.36,1.2,0,Model_A,159.66,1,42.2,Medium,0.0
Slack,60.6,67.13,49.36,39.58,178.06,97.39,2.0,0,Model_A,176.4,0,23.68,Low,0.0
Facebook,65.88,51.1,85.96,42.04,127.55,40.83,1.0,1,Model_A,162.94,1,7.92,Low,0.0
Lyft,57.31,72.1,86.38,33.13,214.26,33.12,1.1,0,Model_B,176.69,1,5.57,High,0.0
Google Maps,83.64,65.97,9.33,46.46,83.01,2.82,2.0,1,Model_A,176.07,2,43.19,Medium,0.0
Facebook,98.36,75.54,27.42,55.0,163.69,44.99,1.2,0,Model_A,172.69,2,33.68,High,1.0
Lyft,48.76,44.46,2.75,31.98,398.27,65.14,1.1,0,Model_B,197.21,2,46.38,Low,1.0
Telegram,68.86,51.6,90.07,41.56,110.4,81.54,1.1,0,Model_A,183.77,1,3.95,Medium,0.0
Twitter,48.89,65.11,12.82,32.98,484.92,26.75,1.1,0,Model_B,155.94,2,43.33,Low,0.0
Telegram,64.41,61.49,15.23,39.97,252.38,51.36,2.0,1,Model_A,177.47,2,40.59,Medium,0.0
Slack,58.14,64.19,13.96,35.94,54.74,66.2,2.0,1,Model_C,182.37,1,42.87,Low,0.0
Slack,51.09,68.38,98.95,31.5,482.85,55.16,2.0,0,Model_A,183.63,1,0.28,Medium,0.0
Spotify,55.85,50.94,27.23,34.11,233.82,27.4,1.1,0,Model_C,170.43,0,35.61,High,0.0
Telegram,43.16,76.17,41.56,30.63,285.17,79.63,1.1,0,Model_B,182.84,0,26.35,Medium,0.0
Netflix,38.93,64.05,42.53,25.18,94.82,17.34,1.0,0,Model_A,182.66,1,27.51,Medium,0.0
Google Maps,60.59,73.24,49.36,35.0,170.65,90.5,1.0,0,Model_A,171.63,2,22.52,Low,0.0
Uber,77.51,44.68,23.49,44.22,360.26,95.26,2.0,1,Model_A,171.24,3,35.65,Medium,0.0
Telegram,70.61,58.46,0.64,40.57,63.47,36.56,2.0,1,Model_C,173.52,2,47.99,Medium,1.0
Spotify,66.72,66.02,31.2,40.85,292.07,37.62,1.2,0,Model_A,157.93,1,34.11,Medium,0.0
Snapchat,59.32,43.55,32.48,40.96,355.08,74.33,2.0,1,Model_B,177.68,1,32.55,High,0.0
Discord,61.37,56.63,35.58,38.91,0.94,45.63,1.0,1,Model_A,184.74,0,31.41,High,0.0
Facebook,28.52,65.33,27.17,22.43,428.84,2.86,1.0,0,Model_B,171.81,0,33.37,Medium,0.0
Slack,87.63,40.49,62.73,44.13,28.84,91.99,1.0,1,Model_C,177.6,2,16.42,Low,0.0
Snapchat,54.39,62.76,66.14,34.44,126.42,43.08,1.1,1,Model_B,170.67,1,15.37,High,0.0
Spotify,84.88,75.58,23.98,46.77,493.33,20.35,1.1,1,Model_C,171.87,2,37.65,Medium,0.0
Lyft,72.2,41.12,92.96,44.39,41.49,55.57,2.0,1,Model_C,172.33,1,2.55,Low,0.0
Uber,65.29,70.91,20.11,37.75,422.88,21.89,1.2,0,Model_C,162.12,2,36.44,Low,0.0
Google Maps,60.38,54.96,20.71,35.33,333.82,20.6,1.2,1,Model_B,178.68,2,39.06,High,0.0
Google Maps,54.97,37.26,47.89,36.06,306.37,54.57,1.2,1,Model_B,167.48,2,25.04,Low,0.0
Google Maps,68.59,53.1,10.54,40.12,297.82,39.1,1.1,1,Model_B,151.34,2,43.69,Medium,0.0
Discord,91.99,51.87,50.7,51.0,85.23,57.3,1.0,0,Model_A,169.54,2,22.71,Low,1.0
Uber,76.86,50.22,80.17,43.16,342.44,99.68,1.0,1,Model_B,156.16,1,8.55,Low,0.0
Discord,58.05,66.49,63.51,37.68,487.24,85.9,1.1,1,Model_C,180.07,1,17.35,Medium,0.0
Slack,61.94,55.8,7.69,36.17,39.44,0.77,1.2,1,Model_B,158.62,1,43.48,Medium,0.0
Discord,61.36,51.99,0.0,38.26,170.2,5.06,1.2,0,Model_C,185.59,3,47.7,Medium,1.0
WhatsApp,51.84,52.04,56.04,29.84,241.79,61.01,2.0,0,Model_B,184.61,1,20.25,Medium,0.0
Uber,79.55,81.13,81.16,44.36,118.93,62.63,2.0,0,Model_B,184.61,2,8.01,Low,0.0
Netflix,71.08,60.02,67.08,43.31,379.34,87.82,1.2,0,Model_C,164.28,2,13.74,Medium,0.0
Uber,66.81,39.68,43.57,41.33,352.57,62.91,1.1,0,Model_B,164.29,2,26.56,High,0.0
